PROJECT,Discipline,Group Type,Hours,Employee GEN,End of Week
16FFPG06,Electrical,Engineering,5.0,000161998,2025-01-24
16FFPG06,Electrical,Engineering,16.5,000161998,2025-01-31
16FFPG06,Electrical,Engineering,13.0,000161998,2025-02-07
16FHEO34,Project Services,Non Engineering,1.0,000205803,2024-10-11
16FHEO34,Project Services,Non Engineering,1.0,000205803,2024-10-25
16FHEO34,Project Services,Non Engineering,1.0,000205803,2024-11-08
16FHEO34,Project Services,Non Engineering,6.0,000233516,2024-11-15
16FHEO40,Project Services,Non Engineering,1.0,000205803,2024-10-04
16FHEO40,Project Services,Non Engineering,1.0,000205803,2024-10-18
16FHEO40,Project Services,Non Engineering,1.0,000205803,2024-11-01
16FHEO40,Project Services,Non Engineering,1.0,000205803,2024-11-22
16FHEO40,Project Services,Non Engineering,2.0,000205803,2024-11-29
16FHEO40,Project Services,Non Engineering,1.0,000205803,2024-12-13
16FHEO40,Project Services,Non Engineering,2.0,000205803,2025-01-10
16FHEO40,Project Services,Non Engineering,1.0,000205803,2025-01-24
16FHEO40,Project Services,Non Engineering,2.0,000205803,2025-02-07
16FHEO44,Project Services,Non Engineering,1.0,000205803,2024-11-15
16FHEO44,Project Services,Non Engineering,1.0,000205803,2024-12-06
16FHEO44,Project Services,Non Engineering,1.0,000205803,2024-12-20
16FHEO44,Project Services,Non Engineering,2.0,000205803,2025-01-03
16FHEO44,Project Services,Non Engineering,1.0,000205803,2025-01-17
16FHEO44,Project Services,Non Engineering,2.0,000205803,2025-01-31
16FHEO44,Project Services,Non Engineering,1.0,000223837,2024-12-27
16FHEO44,Project Services,Non Engineering,2.0,000233516,2024-11-15
16FHEO44,Project Services,Non Engineering,5.0,000233516,2024-11-22
16FHEO44,Project Services,Non Engineering,4.0,000233516,2024-11-29
16FHEO46,Project Services,Non Engineering,2.0,000233516,2024-11-29
16FHEO46,Project Services,Non Engineering,2.0,000233516,2024-12-06
16FHEP1L,Project Services,Non Engineering,1.5,000233516,2024-11-15
16FHEP1N,Project Services,Non Engineering,1.0,000205803,2024-10-25
16FHEP1N,Project Services,Non Engineering,2.0,000205803,2024-11-01
16FHEP1N,Project Services,Non Engineering,1.0,000205803,2024-11-08
16FHEP1N,Project Services,Non Engineering,1.0,000205803,2024-11-15
16FHEP1N,Project Services,Non Engineering,1.0,000205803,2024-11-22
16FHEP1N,Project Services,Non Engineering,2.0,000205803,2024-11-29
16FHEP1N,Project Services,Non Engineering,1.0,000205803,2024-12-06
16FHEP1N,Project Services,Non Engineering,2.0,000205803,2024-12-13
16FHEP1N,Project Services,Non Engineering,1.0,000205803,2024-12-20
16FHEP1N,Project Services,Non Engineering,1.0,000205803,2025-02-07
16FHEP1N,Project Services,Non Engineering,1.0,000223837,2024-12-13
16FHEP1N,Project Services,Non Engineering,1.0,000223837,2024-12-27
16FHEP1R,Project Services,Non Engineering,2.5,000233516,2024-11-15
16FHEP1R,Project Services,Non Engineering,5.0,000233516,2024-11-22
16FHEP1R,Project Services,Non Engineering,1.0,000233516,2024-11-29
16FHEP1R,Project Services,Non Engineering,2.0,000233516,2024-12-06
16FHEP94,Project Services,Non Engineering,1.0,000233516,2024-11-15
16FHEP94,Project Services,Non Engineering,2.0,000233516,2024-11-22
16FHEPW6,Project Services,Non Engineering,3.0,000233516,2024-11-08
16FHEPW6,Project Services,Non Engineering,1.0,000233516,2024-11-15
16FHEPY9,Project Services,Non Engineering,1.0,000205803,2024-10-04
16FHEPY9,Project Services,Non Engineering,1.0,000205803,2024-10-11
16FHEPY9,Project Services,Non Engineering,1.0,000205803,2024-10-18
16FHEPY9,Project Services,Non Engineering,1.5,000205803,2025-01-24
16FHEPY9,Project Services,Non Engineering,2.0,000205803,2025-01-31
16FHEPZ3,Project Services,Non Engineering,1.5,000233516,2024-11-15
16FHEQ69,Project Services,Non Engineering,0.5,000205803,2024-10-04
16FHEQ69,Project Services,Non Engineering,1.0,000205803,2024-10-11
16FHEQ69,Project Services,Non Engineering,1.0,000205803,2024-10-18
16FHEQ69,Project Services,Non Engineering,1.0,000205803,2024-11-15
16FHEQ69,Project Services,Non Engineering,1.0,000205803,2024-12-06
16FHEQ69,Project Services,Non Engineering,2.0,000205803,2025-01-31
16FHEQ69,Project Services,Non Engineering,1.0,000233516,2024-11-15
16FHEQ70,Project Services,Non Engineering,1.0,000205803,2024-10-25
16FHEQ70,Project Services,Non Engineering,2.0,000205803,2024-11-01
16FHEQ70,Project Services,Non Engineering,1.0,000205803,2024-11-08
16FHEQ70,Project Services,Non Engineering,2.0,000205803,2024-11-22
16FHEQ70,Project Services,Non Engineering,2.0,000205803,2024-11-29
16FHEQ70,Project Services,Non Engineering,2.0,000205803,2024-12-13
16FHEQ70,Project Services,Non Engineering,1.0,000205803,2024-12-20
16FHEQ70,Project Services,Non Engineering,2.0,000205803,2025-01-03
16FHEQ70,Project Services,Non Engineering,1.5,000205803,2025-01-10
16FHEQ70,Project Services,Non Engineering,1.0,000205803,2025-01-17
16FHEQ70,Project Services,Non Engineering,1.0,000205803,2025-01-24
16FHEQ70,Project Services,Non Engineering,2.0,000205803,2025-01-31
16FHEQ70,Project Services,Non Engineering,2.0,000205803,2025-02-07
16FHEQ70,Project Services,Non Engineering,1.0,000223837,2024-12-27
16FHEQ70,Project Services,Non Engineering,2.0,000233516,2024-11-29
16FHER77,Project Services,Non Engineering,1.0,000205803,2024-10-04
16FHER77,Project Services,Non Engineering,1.0,000205803,2024-10-11
16FHER77,Project Services,Non Engineering,1.0,000205803,2024-10-25
16FHER77,Project Services,Non Engineering,3.0,000205803,2024-11-08
16FHER90,Project Services,Non Engineering,1.0,000205803,2024-10-18
16FHER90,Project Services,Non Engineering,1.0,000205803,2024-11-01
16FHER90,Project Services,Non Engineering,-2.0,000205803,2024-11-08
16FHES62,Project Services,Non Engineering,1.0,000205803,2024-10-11
16FHES62,Project Services,Non Engineering,1.0,000205803,2024-10-25
16FHES62,Project Services,Non Engineering,1.0,000205803,2024-11-08
16FHES62,Project Services,Non Engineering,1.0,000205803,2024-11-15
16FHES62,Project Services,Non Engineering,1.0,000205803,2024-11-22
16FHES62,Project Services,Non Engineering,2.0,000205803,2024-11-29
16FHES62,Project Services,Non Engineering,2.0,000205803,2024-12-13
16FHES62,Project Services,Non Engineering,1.0,000205803,2025-01-24
16FHES78,Project Services,Non Engineering,1.0,000205803,2024-10-04
16FHES78,Project Services,Non Engineering,1.0,000205803,2024-10-18
16FHES78,Project Services,Non Engineering,1.0,000205803,2024-11-01
16FHES78,Project Services,Non Engineering,1.0,000205803,2025-01-10
16FHES78,Project Services,Non Engineering,2.0,000205803,2025-01-31
16FHES90,Project Services,Non Engineering,1.5,000233516,2024-11-08
16FHES90,Project Services,Non Engineering,1.0,000233516,2024-11-15
16FHES95,Project Services,Non Engineering,1.0,000205803,2024-12-06
16FHES95,Project Services,Non Engineering,1.0,000205803,2024-12-20
16FHES95,Project Services,Non Engineering,2.0,000205803,2025-01-03
16FHES95,Project Services,Non Engineering,1.0,000205803,2025-01-17
16FHES95,Project Services,Non Engineering,2.0,000205803,2025-02-07
16FHES95,Project Services,Non Engineering,1.0,000223837,2024-12-27
16FHEU22,Project Services,Non Engineering,1.0,000205803,2024-10-04
16FHEU22,Project Services,Non Engineering,1.0,000205803,2024-10-18
16FHEU22,Project Services,Non Engineering,2.0,000205803,2024-11-01
16FHEU22,Project Services,Non Engineering,1.0,000205803,2024-11-15
16FHEU27,Project Services,Non Engineering,1.0,000205803,2024-10-11
16FHEU27,Project Services,Non Engineering,0.5,000205803,2024-10-25
16FHEU27,Project Services,Non Engineering,1.0,000205803,2024-11-22
16FHEU27,Project Services,Non Engineering,2.0,000205803,2024-11-29
16FHEU30,Project Services,Non Engineering,1.0,000205803,2024-11-08
16FHEU30,Project Services,Non Engineering,1.0,000205803,2024-12-06
16FHEU30,Project Services,Non Engineering,2.0,000205803,2025-01-10
16FHEU30,Project Services,Non Engineering,1.0,000205803,2025-01-24
16FHEU30,Project Services,Non Engineering,1.0,000205803,2025-02-07
16FHEU31,Project Services,Non Engineering,1.0,000205803,2024-12-13
16FHEU31,Project Services,Non Engineering,2.0,000205803,2025-01-17
16FHEU31,Project Services,Non Engineering,2.0,000205803,2025-01-31
16FHEU32,Project Services,Non Engineering,1.0,000205803,2024-12-20
16FHEU32,Project Services,Non Engineering,2.0,000205803,2025-01-03
16FHEU32,Project Services,Non Engineering,1.0,000223837,2024-12-27
16FHEV37,Project Services,Non Engineering,1.0,000205803,2024-11-01
16FHEV38,Project Services,Non Engineering,0.5,000205803,2024-10-04
16FHEV41,Project Services,Non Engineering,1.0,000205803,2024-10-11
16FHEV41,Project Services,Non Engineering,1.0,000205803,2024-10-18
16FHEV41,Project Services,Non Engineering,0.5,000205803,2024-10-25
16FHEV41,Project Services,Non Engineering,1.0,000205803,2024-11-08
16FHEV41,Project Services,Non Engineering,1.0,000205803,2024-11-22
16FHEV41,Project Services,Non Engineering,1.0,000205803,2024-11-29
16FHEV41,Project Services,Non Engineering,1.0,000205803,2024-12-13
16FHEV41,Project Services,Non Engineering,1.0,000205803,2025-01-03
16FHEV41,Project Services,Non Engineering,1.0,000205803,2025-01-10
16FHEV42,Project Services,Non Engineering,0.5,000205803,2024-11-15
16FHEV42,Project Services,Non Engineering,1.0,000205803,2024-12-06
16FHEV42,Project Services,Non Engineering,1.0,000205803,2024-12-20
16FHEV42,Project Services,Non Engineering,1.0,000205803,2025-01-24
16FHEV42,Project Services,Non Engineering,1.0,000205803,2025-02-07
16FHEV42,Project Services,Non Engineering,1.0,000223837,2024-12-27
16FHEV42,Project Services,Non Engineering,6.0,000233516,2024-11-29
16FHEV45,Project Services,Non Engineering,1.0,000205803,2025-01-17
16FHEV45,Project Services,Non Engineering,1.0,000205803,2025-01-31
16FHEWC3,Project Services,Non Engineering,2.0,000205803,2025-01-17
16FHEWC3,Project Services,Non Engineering,1.0,000205803,2025-01-24
16FHEWC3,Project Services,Non Engineering,1.0,000205803,2025-01-31
16FHEWC3,Project Services,Non Engineering,2.0,000205803,2025-02-07
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-10-04
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-10-11
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-10-18
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-10-25
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-11-01
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-11-08
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-11-15
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-11-22
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-11-29
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-12-06
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-12-13
16FHFG06,Project Services,Non Engineering,2.0,000161738,2024-12-20
16FHFG06,Project Services,Non Engineering,2.0,000161738,2025-01-03
16FHFG06,Project Services,Non Engineering,2.0,000161738,2025-01-17
16FHFG06,Project Services,Non Engineering,-4.0,000161738,2025-01-31
16FHFG06,Project Services,Non Engineering,4.0,000233516,2024-12-06
16FHFG07,Project Services,Non Engineering,6.4,000161738,2025-01-31
16FHFG07,Project Services,Non Engineering,2.0,000161738,2025-02-07
16FHFX07,Instrumentation & Controls,Engineering,14.5,000161747,2025-01-31
16FHFX07,Instrumentation & Controls,Engineering,14.5,000161747,2025-02-07
16FHFX07,Project Services,Non Engineering,0.5,000205803,2024-11-15
16FHFX07,Project Services,Non Engineering,1.0,000205803,2024-11-22
16FHFX07,Project Services,Non Engineering,1.0,000205803,2024-11-29
16FHFX07,Instrumentation & Controls,Engineering,14.5,000221046,2025-02-07
16FHFX07,Instrumentation & Controls,Engineering,14.5,000225057,2025-02-07
16FHFX09,Project Services,Non Engineering,1.0,000205803,2024-12-06
16FHFX09,Project Services,Non Engineering,1.0,000205803,2024-12-13
16FHFX09,Project Services,Non Engineering,0.5,000205803,2024-12-20
16FHFX09,Project Services,Non Engineering,1.0,000205803,2025-01-03
16FHFX09,Project Services,Non Engineering,1.0,000205803,2025-01-10
16FHFX09,Project Services,Non Engineering,1.0,000205803,2025-01-17
16FHFX09,Project Services,Non Engineering,1.0,000205803,2025-01-24
16FHFX09,Project Services,Non Engineering,1.0,000223837,2024-12-27
16FHFX10,Project Services,Non Engineering,1.0,000205803,2025-02-07
16FHJZ03,Electrical,Engineering,40.0,000185895,2024-10-04
16FHJZ03,Electrical,Engineering,40.0,000185895,2024-10-11
16FHJZ03,Electrical,Engineering,40.0,000185895,2024-10-18
16FHJZ03,Electrical,Engineering,30.5,000185895,2024-10-25
16FHJZ03,Electrical,Engineering,34.0,000185895,2024-11-01
16FHJZ03,Electrical,Engineering,40.0,000185895,2024-11-08
16FHJZ03,Electrical,Engineering,31.5,000185895,2024-11-15
16FHJZ03,Electrical,Engineering,40.0,000185895,2024-11-22
16FHJZ03,Electrical,Engineering,25.5,000185895,2024-11-29
16FHJZ03,Electrical,Engineering,10.5,000185895,2024-12-06
16FHJZ03,Electrical,Engineering,7.0,000185895,2024-12-13
16FHJZ03,Electrical,Engineering,1.5,000225056,2024-10-04
16FHJZ03,Electrical,Engineering,2.0,000225056,2024-10-11
16FHJZ03,Electrical,Engineering,4.0,000225056,2024-10-18
16FHJZ03,Electrical,Engineering,6.0,000225056,2024-10-25
16FHJZ03,Electrical,Engineering,6.0,000225056,2024-11-01
16FHJZ03,Electrical,Engineering,25.5,000225056,2024-11-15
16FHJZ03,Electrical,Engineering,2.5,000225056,2024-11-22
16FHJZ03,Electrical,Engineering,1.0,000225056,2024-11-29
16FHJZ03,Electrical,Engineering,1.0,000225056,2024-12-13
16FHJZ03,Electrical,Engineering,7.0,000225069,2024-10-25
16FHJZ03,Electrical,Engineering,1.0,000225069,2024-11-01
16FHXZ01,Leadership,Non Engineering,0.5,000161346,2024-10-11
16FHXZ01,Structural B&I,Engineering,1.0,000161365,2024-10-04
16FHXZ01,Structural B&I,Engineering,1.0,000161365,2024-11-08
16FHXZ01,Structural B&I,Engineering,-1.0,000161365,2024-11-22
16FHXZ01,Piping,Engineering,7.0,000161416,2024-10-11
16FHXZ01,Piping,Engineering,31.5,000161416,2024-10-18
16FHXZ01,Piping,Engineering,31.5,000161416,2024-10-25
16FHXZ01,Piping,Engineering,17.5,000161416,2024-11-08
16FHXZ01,Piping,Engineering,7.5,000161416,2024-11-15
16FHXZ01,Piping,Engineering,2.0,000161416,2024-11-22
16FHXZ01,Piping,Engineering,10.0,000161416,2025-01-10
16FHXZ01,Piping,Engineering,23.0,000161416,2025-01-17
16FHXZ01,Piping,Engineering,6.5,000161416,2025-01-24
16FHXZ01,Quality,Non Engineering,2.0,000161684,2024-10-11
16FHXZ01,Quality,Non Engineering,2.0,000161684,2024-10-18
16FHXZ01,Quality,Non Engineering,2.0,000161684,2024-10-25
16FHXZ01,Quality,Non Engineering,2.0,000161684,2024-11-01
16FHXZ01,Quality,Non Engineering,2.0,000161684,2024-11-08
16FHXZ01,Quality,Non Engineering,2.0,000161684,2024-11-15
16FHXZ01,Quality,Non Engineering,4.0,000161684,2025-01-17
16FHXZ01,Digital Delivery,Engineering,6.5,000161917,2024-10-04
16FHXZ01,Digital Delivery,Engineering,10.0,000161917,2024-10-11
16FHXZ01,Digital Delivery,Engineering,8.0,000161917,2024-10-18
16FHXZ01,Digital Delivery,Engineering,2.0,000161917,2024-10-25
16FHXZ01,Digital Delivery,Engineering,1.0,000161917,2024-11-01
16FHXZ01,Architectural,Engineering,38.0,000209125,2024-10-18
16FHXZ01,Architectural,Engineering,39.0,000209125,2024-10-25
16FHXZ01,Architectural,Engineering,17.5,000209125,2024-11-01
16FHXZ01,Architectural,Engineering,35.0,000209125,2024-11-08
16FHXZ01,Architectural,Engineering,30.5,000209125,2024-11-15
16FHXZ01,Architectural,Engineering,19.5,000209125,2024-11-22
16FHXZ01,Architectural,Engineering,9.5,000209125,2024-11-29
16FHXZ01,Architectural,Engineering,3.0,000209125,2024-12-06
16FHXZ01,Architectural,Engineering,3.0,000209125,2024-12-13
16FHXZ01,Architectural,Engineering,2.0,000209125,2025-01-10
